SCUOLA_ANONIMO,CLASSE_ANONIMO,STUDENTE_ANONIMO,TIPO_SCUOLA,Grado,genere,mese,anno,luogo,regolarità,origine,luogo_padre,luogo_madre,voto_scritto_ita,voto_orale_ita,voto_scritto_mat,voto_orale_mat,voto_scritto_eng,voto_orale_eng,codice_orario,Cod_Reg,Areageo_5,WLE_ELI_200,LIVELLI_WLE_ELI,peso_studente,peso_classe,peso_scuola,ESCS_studente
1328,702,11959,1,13,1,8,4,1,1,1,1,1,99,99,99,99,99,99,9,15,4,273.288109946299,3,35.8418604651163,7.69767441860465,4.65619335347432,-.85294177087397
1328,702,11960,1,13,2,5,4,1,1,1,1,1,99,99,99,99,99,99,9,15,4,220.715722698071,3,35.8418604651163,7.69767441860465,4.65619335347432,.799668851428267
1333,712,11961,3,13,1,8,4,1,1,1,1,1,66,4,66,3,66,5,3,15,4,175.98342644899,2,43.5386029411765,2.78125,15.6543291473893,-.222023858406335
1332,709,11962,1,13,1,12,4,1,1,1,1,1,66,9,66,9,66,9,3,15,4,282.433522137434,3,34.2488888888889,2.02222222222222,16.9362637362637,-.624907044091817
1332,709,11963,1,13,1,8,4,1,1,1,1,1,66,7,66,4,66,8,3,15,4,188.783652365282,2,34.2488888888889,2.02222222222222,16.9362637362637,.587609930663704
1355,756,11964,3,13,1,7,4,1,1,1,1,1,12,6,12,5,12,5,3,15,4,175.98342644899,2,51.6013071895425,3.33333333333333,15.4803921568627,-.842423938077291
1354,753,11966,3,13,1,5,5,1,1,1,1,1,6,7,5,6,6,7,3,15,4,186.072111775746,2,33.172268907563,3.5,9.47779111644658,-.349299611294997
1354,753,11967,3,13,1,9,4,1,1,1,1,1,6,5,4,4,5,5,3,15,4,181.562501280104,2,33.172268907563,3.5,9.47779111644658,-1.15217283885338
1354,754,11968,3,13,2,1,5,1,1,1,1,1,7,7,4,5,6,7,3,15,4,173.670730806556,2,33.172268907563,3.5,9.47779111644658,-1.41894813032399
1354,753,11969,3,13,1,11,4,1,1,1,1,1,6,6,4,4,6,5,3,15,4,171.361102583613,2,33.172268907563,3.5,9.47779111644658,-1.44675113560667
1354,753,11970,3,13,1,4,4,1,1,1,1,1,5,4,4,4,5,4,3,15,4,206.435055273601,2,33.172268907563,3.5,9.47779111644658,-1.62362275321397
