SCUOLA_ANONIMO,CLASSE_ANONIMO,STUDENTE_ANONIMO,TIPO_SCUOLA,Grado,genere,mese,anno,luogo,regolarità,origine,luogo_padre,luogo_madre,voto_scritto_ita,voto_orale_ita,voto_scritto_mat,voto_orale_mat,voto_scritto_eng,voto_orale_eng,codice_orario,Cod_Reg,Areageo_5,WLE_MAT_200,LIVELLI_WLE_MAT,peso_studente,peso_classe,peso_scuola,ESCS_studente
1067,1,19306,4,13,1,6,3,1,3,9,9,9,12,6,12,6,12,7,4,1,1,188.169803724881,2,2.45588235294118,1,2.45588235294118,.538014065945069
1067,1,19307,4,13,1,10,3,1,3,1,1,1,12,6,12,6,12,6,4,1,1,181.344142179298,2,2.45588235294118,1,2.45588235294118, 
807,661,19308,4,13,1,2,3,1,3,1,1,1,2,66,5,5,5,6,3,14,4,167.40199367254,2,3.125,3.125,1,-.783003711951624
1134,180,19309,4,13,1,9,3,1,3,1,1,1,12,5,12,10,12,5,3,4,1,188.894505303761,2,36.5993031358885,2.75609756097561,13.2793931731985, 
602,219,19310,3,13,1,11,3,1,3,1,1,2,12,6,12,8,12,7,4,51,2,204.627481476438,3,4.19318181818182,1.02272727272727,4.1,.44474147493718
501,4,19311,4,13,1,4,3,1,3,1,1,1,99,99,99,99,99,99,9,1,1,231.533705242213,4,2.0875,1.025,2.03658536585366, 
506,17,19312,3,13,1,3,3,1,3,9,9,9,66,66,66,66,66,66,4,1,1,210.64406080115,3,5.86,3.8,1.5421052631579,.421117839754586
1067,1,19313,4,13,1,10,2,1,3,3,2,2,12,6,12,6,12,7,4,1,1,179.274516149374,2,2.45588235294118,1,2.45588235294118,-1.14165500605671
1067,2,19314,4,13,1,11,3,1,3,1,1,1,12,5,12,6,12,6,4,1,1,137.253846366457,1,2.45588235294118,1,2.45588235294118, 
1117,143,19316,2,13,2,9,3,1,3,1,1,1,12,7,12,5,5,4,3,4,1,180.546284109953,2,35.7820512820513,1.94871794871795,18.3618421052632,-.0555317674972164
1132,175,19317,3,13,2,8,2,4,3,2,4,4,6,6,6,6,66,66,3,4,1,218.765817405911,4,59.6944444444445,1.45454545454545,41.0399305555556,.243699300482198
1130,171,19318,4,13,2,6,3,1,3,9,9,9,66,6,66,6,66,6,3,4,1,146.330970022242,1,44.1344537815126,6.85294117647059,6.44022072348253, 
1357,760,19319,3,13,2,11,3,1,3,1,1,1,12,7,12,7,12,8,3,15,4,170.042797498442,2,36.6640866873065,2,18.3320433436532,-2.03934820999495
1075,36,19320,3,13,1,3,3,1,3,1,1,1,66,9,66,9,66,7,3,2,1,269.788259508446,5,34.1944444444444,6.58333333333333,5.19409282700422,-.377102616577677
1142,195,19321,4,13,2,10,3,1,3,1,1,1,12,7,12,7,12,8,3,4,1,146.330970022242,1,34.1038961038961,1.29545454545455,26.3258145363409, 
1156,244,19323,3,13,2,9,3,1,3,1,1,1,12,6,12,6,12,8,4,54,2,267.044316934829,5,10.5902777777778,2.13888888888889,4.9512987012987,-.19928223991637
1163,263,19324,4,13,2,6,3,1,3,1,1,1,12,7,12,6,12,7,3,6,2,176.166305565841,2,24.9922480620155,1.41860465116279,17.6174863387978,-.698673465658137
1349,743,19325,3,13,2,9,3,1,3,1,1,1,99,99,99,99,99,99,9,15,4,164.363827983529,1,24.4427244582043,1.6140350877193,15.1438618925831,-1.74051897940445
1163,263,19326,4,13,2,11,3,1,3,1,1,1,12,8,12,7,12,7,3,6,2,166.796493310136,1,24.9922480620155,1.41860465116279,17.6174863387978,-.947359909864906
1182,303,19327,3,13,2,7,3,1,3,3,2,2,99,99,99,99,99,99,9,6,2,158.269239248386,1,38.5111111111111,3.95555555555556,9.73595505617978,-.553974234184974
1184,307,19328,4,13,2,3,3,1,3,1,1,1,12,8,12,7,12,8,3,6,2,156.884587565653,1,31.6078431372549,4.67647058823529,6.75890985324948,-1.59050160802583
1258,511,19329,4,13,2,11,3,1,3,1,1,1,12,7,12,7,12,7,3,11,3,165.8720809041,1,28.7777777777778,1.16666666666667,24.6666666666667,-.19928223991637
659,340,19330,3,13,1,8,3,1,3,1,1,1,12,5,12,7,12,6,3,7,2,261.385654970562,5,16.8222222222222,8.80555555555556,1.91041009463722,.587609930663704
654,333,19331,2,13,2,1,3,1,3,3,2,2,99,99,99,99,99,99,9,7,2,165.627033335254,1,10.3047619047619,1.82857142857143,5.63541666666667,.266039081583244
1360,765,19332,2,13,2,7,3,1,3,1,1,1,7,7,8,8,6,6,3,15,4,125.823688510429,1,16.6575630252101,1.02941176470588,16.1816326530612,.995015048036506
1295,597,19333,4,13,2,10,3,1,3,1,1,1,5,6,4,4,5,7,3,12,3,127.508658395861,1,30.3035714285714,4.02380952380952,7.5310650887574,-1.09737728124353
1299,609,19334,2,13,1,10,3,1,3,1,1,2,6,6,66,6,6,6,3,12,3,117.274085736619,1,52.9703703703704,1.11111111111111,47.6733333333333,.859584915025529
1359,1043,20160,3,13,1,7,3,1,3,1,1,1,99,99,99,99,99,99,9,15,4,133.932528331815,1,27.864705882353,1.36,20.4887543252595,-1.873438800633
1296,599,19335,3,13,1,1,3,1,3,1,1,1,7,7,7,6,6,7,3,12,3,176.922050177588,2,30.3994708994709,1.0952380952381,27.756038647343,-1.12536113068446
1295,597,19336,4,13,2,1,3,4,3,9,9,9,4,4,7,6,9,7,3,12,3,154.690583645289,1,30.3035714285714,4.02380952380952,7.5310650887574, 
1299,608,19337,2,13,2,5,2,1,3,1,1,1,6,6,66,7,7,6,3,12,3,117.859007072113,1,52.9703703703704,1.11111111111111,47.6733333333333,-.482038588365292
1327,700,19338,2,13,2,10,3,1,3,1,1,1,99,99,99,99,99,99,9,15,4,191.646837915133,3,26.969387755102,2.30952380952381,11.6774668630339,-.393577336108169
1359,1043,20161,3,13,1,1,1,9,3,9,9,9,99,99,99,99,99,99,9,15,4,177.934597076282,2,27.864705882353,1.36,20.4887543252595,-2.83815134787438
